,record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,body_level,engaged_in_a_fight
2,3,No,No,No,14,Male,0,0,Never,3 or more,0,Sometimes,Always,No,False,1.0,False
5,6,No,No,No,13,Male,0,1,Never,3 or more,0,Most of the time,Always,No,False,1.0,True
10,11,No,No,No,15,Male,0,1,Never,3 or more,3,Most of the time,Always,No,True,1.0,True
22,23,No,No,Yes,13,Male,0,2,Most of the time,3 or more,0,Rarely,Always,Yes,False,1.0,True
23,24,No,No,No,14,Male,0,2,Most of the time,2,0,Always,Sometimes,Yes,False,3.0,True
31,32,No,No,No,13,Female,0,0,Never,3 or more,0,Most of the time,Always,No,False,1.0,False
33,34,No,No,No,14,Female,0,0,Never,3 or more,0,Always,Always,No,False,1.0,False
37,38,No,No,No,13,Male,0,8,Rarely,3 or more,10,Always,Rarely,No,True,1.0,True
39,40,No,No,Yes,13,Female,0,1,Rarely,3 or more,0,Most of the time,Most of the time,No,False,1.0,True
41,42,Yes,No,Yes,13,Male,0,1,Rarely,3 or more,0,Most of the time,Most of the time,No,False,2.0,True
42,43,Yes,No,No,15,Male,1,0,Never,3 or more,0,Never,Sometimes,No,False,1.0,True
43,44,No,No,No,14,Female,1,0,Never,3 or more,1,Always,Always,No,True,2.0,True
45,46,Yes,No,No,13,Female,0,0,Sometimes,3 or more,0,Rarely,Always,No,False,1.0,False
47,48,No,No,No,15,Female,1,0,Sometimes,3 or more,0,Sometimes,Always,No,False,1.0,True
48,49,No,No,Yes,14,Female,0,0,Rarely,3 or more,0,Sometimes,Sometimes,No,False,1.0,False
49,50,No,No,No,16,Male,0,0,Rarely,3 or more,0,Sometimes,Always,No,False,1.0,False
50,51,No,No,No,16,Male,0,0,Never,3 or more,0,Most of the time,Sometimes,No,False,1.0,False
52,53,No,Yes,Yes,14,Female,0,2,Rarely,3 or more,1,Sometimes,Most of the time,No,True,2.0,True
54,55,No,Yes,Yes,16,Male,4,2,Most of the time,0,10,Sometimes,Always,Yes,True,1.0,True
56,57,No,No,No,15,Male,0,0,Rarely,3 or more,0,Rarely,Rarely,No,False,0.0,False
57,58,No,No,No,15,Male,0,4,Rarely,3 or more,0,Most of the time,Always,No,False,1.0,True
58,59,No,No,No,16,Male,0,2,Never,3 or more,10,Most of the time,Always,No,True,1.0,True
59,60,Yes,No,No,15,Female,0,0,Rarely,3 or more,0,Most of the time,Sometimes,No,False,1.0,False
60,61,No,No,Yes,15,Female,0,0,Always,3 or more,0,Sometimes,Most of the time,Yes,False,1.0,False
61,62,No,No,No,15,Female,0,0,Sometimes,3 or more,0,Most of the time,Sometimes,No,False,1.0,False
64,65,No,Yes,No,16,Female,0,0,Most of the time,3 or more,0,Most of the time,Always,Yes,False,2.0,False
66,67,No,No,No,14,Female,0,0,Never,3 or more,0,Always,Always,No,False,1.0,False
69,70,No,No,No,15,Female,0,0,Sometimes,3 or more,0,Sometimes,Always,No,False,3.0,False
73,74,No,No,No,16,Male,0,0,Never,2,0,Most of the time,Always,No,False,1.0,False
75,76,No,No,No,16,Female,0,0,Sometimes,2,0,Sometimes,Sometimes,No,False,1.0,False
76,77,No,No,No,15,Female,0,0,Never,3 or more,0,Always,Sometimes,No,False,1.0,False
77,78,No,Yes,Yes,14,Female,0,0,Always,3 or more,1,Rarely,Rarely,Yes,True,1.0,False
78,79,No,No,Yes,15,Male,0,0,Always,3 or more,0,Always,Never,Yes,False,1.0,False
79,80,No,No,No,17,Female,0,0,Never,3 or more,0,Always,Never,No,False,1.0,False
80,81,No,No,No,16,Male,0,0,Sometimes,3 or more,0,Most of the time,Sometimes,No,False,1.0,False
81,82,No,No,No,15,Female,0,0,Sometimes,3 or more,0,Most of the time,Never,No,False,2.0,False
84,85,No,No,No,15,Female,0,0,Rarely,3 or more,0,Sometimes,Sometimes,No,False,2.0,False
87,88,No,No,No,15,Male,0,0,Rarely,3 or more,0,Rarely,Rarely,No,False,2.0,False
88,89,No,No,No,15,Female,0,0,Most of the time,1,0,Sometimes,Always,Yes,False,1.0,False
94,95,No,No,Yes,17,Male,1,1,Sometimes,2,0,Sometimes,Most of the time,No,False,1.0,True
96,97,Yes,Yes,Yes,16,Female,1,1,Sometimes,3 or more,0,Sometimes,Always,No,False,1.0,True
98,99,No,No,No,16,Male,0,0,Sometimes,3 or more,0,Rarely,Most of the time,No,False,1.0,False
99,100,No,No,No,16,Male,0,0,Never,1,10,Rarely,Never,No,True,1.0,False
